NOMBRE,PRIMER APELLIDO,SEGUNDO APELLIDO,FECHA DE NACIMIENTO,CURP,DETALLES DE OCUPACION (CATALOGO PENDIENTE),SEXO,GENERO
LUISA FERNANDA,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-09-22,CURP000000MVZCURP,EMPLEADA,MUJER,FEMENINO
CHARLY,PRIMER APELLIDO,SEGUNDO APELLIDO,1987-10-14,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
JOSE LUIS,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-10-21,CURP000000MVZCURP,MAESTRO,HOMBRE,MASCULINO
JAIME BRUNO,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-07-09,CURP000000MVZCURP,EMPLEADO,HOMBRE,MASCULINO
JULIO CESAR,PRIMER APELLIDO,SEGUNDO APELLIDO,1965-07-04,CURP000000MVZCURP,EMPLEADO EN FLORERIA,HOMBRE,MASCULINO
ANA GRISELDA,PRIMER APELLIDO,SEGUNDO APELLIDO,2009-05-08,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
ERICK ALFONSO,PRIMER APELLIDO,SEGUNDO APELLIDO,1985-11-15,CURP000000MVZCURP,EMPRESARIO,HOMBRE,MASCULINO
BRENDA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-07-03,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
MIGUEL ANGEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-05-22,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
CELSO,PRIMER APELLIDO,SEGUNDO APELLIDO,1954-07-28,CURP000000MVZCURP,MANDADERO,HOMBRE,MASCULINO
MARIA GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,1996-08-30,CURP000000MVZCURP,EMPLEADA DE COCINA,MUJER,FEMENINO
MIDORI DEL ROSARIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-05-11,CURP000000MVZCURP,EMPLEADA,MUJER,FEMENINO
LILIA,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-05-20,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
KAMI JOVANNA,PRIMER APELLIDO,SEGUNDO APELLIDO,2021-04-11,CURP000000MVZCURP,NO APLICA,MUJER,FEMENINO
LEOVIGILDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1974-02-06,CURP000000MVZCURP,CHOFER,HOMBRE,MASCULINO
MARIA DEL CARMEN,PRIMER APELLIDO,SEGUNDO APELLIDO,2010-01-11,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
SERAFIN,PRIMER APELLIDO,SEGUNDO APELLIDO,1960-10-12,CURP000000MVZCURP,GANADERO,HOMBRE,MASCULINO
RICARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-11-22,CURP000000MVZCURP,,HOMBRE,MASCULINO
LESLIE,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-01-16,CURP000000MVZCURP,LABORES DEL HOGRA,MUJER,FEMENINO
JIMENA ARIDAHIS,PRIMER APELLIDO,SEGUNDO APELLIDO,2019-08-03,CURP000000MVZCURP,,MUJER,FEMENINO
GUADALUPE ERIKA,PRIMER APELLIDO,SEGUNDO APELLIDO,1976-12-09,CURP000000MVZCURP,,MUJER,FEMENINO
NORBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1980-06-06,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
IVAN,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-10-12,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
ERIK JOHANI,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-09-03,CURP000000MVZCURP,VELADOR,HOMBRE,MASCULINO
JULIAN ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-09-03,CURP000000MVZCURP,MECANICO,HOMBRE,MASCULINO
ELIZABETH,PRIMER APELLIDO,SEGUNDO APELLIDO,1985-03-02,CURP000000MVZCURP,DESEMPLEADA,MUJER,FEMENINO
LUIS DANIEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-09-26,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
MARINA LYNETTE,PRIMER APELLIDO,SEGUNDO APELLIDO,2018-08-19,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
DIEGO,PRIMER APELLIDO,SEGUNDO APELLIDO,2020-12-18,CURP000000MVZCURP,,HOMBRE,MASCULINO
ALFONSO,PRIMER APELLIDO,SEGUNDO APELLIDO,1954-11-17,CURP000000MVZCURP,,HOMBRE,MASCULINO
SABDIA MELODY,PRIMER APELLIDO,SEGUNDO APELLIDO,2016-08-29,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
GEOVANNY GIBRAN,PRIMER APELLIDO,SEGUNDO APELLIDO,2016-08-29,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
FLORO,PRIMER APELLIDO,SEGUNDO APELLIDO,1972-04-26,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
HECTOR FELIPE,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-07-15,CURP000000MVZCURP,PESCADOR,HOMBRE,MASCULINO
MICHEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-02-06,CURP000000MVZCURP,EDECAN,MUJER,FEMENINO
PAULINA,PRIMER APELLIDO,SEGUNDO APELLIDO,1990-12-31,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
DIANA SABINA,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-08-18,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
ROSA MARIA,PRIMER APELLIDO,SEGUNDO APELLIDO,1988-01-29,CURP000000MVZCURP,EMPLEADA,MUJER,FEMENINO
SUSAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1978-12-04,CURP000000MVZCURP,LABORES DEL HOGAR Y COMERCIANTE,MUJER,FEMENINO
DYLAN ESTEBAN,PRIMER APELLIDO,SEGUNDO APELLIDO,2015-10-10,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
ANGEL DE JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,2001-10-08,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
JUAN YAIR,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-11-29,CURP000000MVZCURP,,HOMBRE,MASCULINO
VIOLETA MICHEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-08-30,CURP000000MVZCURP,EMPLEADA EN RESTAURANTE,MUJER,FEMENINO
RAFAEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-01-15,CURP000000MVZCURP,EMPLEADO EN REFACCIONARIA MONTERREY,HOMBRE,MASCULINO
JOSE LUIS HERMELINDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1959-03-07,CURP000000MVZCURP,PINTOR,HOMBRE,MASCULINO
ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-04-15,CURP000000MVZCURP,OPERADOR,HOMBRE,MASCULINO
JHOSUAR MIGUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-08-07,CURP000000MVZCURP,AYUDANTE DE ALBAÑIL,HOMBRE,MASCULINO
ISRAEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-08-08,CURP000000MVZCURP,FONTANERO,HOMBRE,MASCULINO
JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,1959-07-12,CURP000000MVZCURP,JUBILADO,HOMBRE,MASCULINO
AMAIRANY,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-07-10,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JESUS ALBEN,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-06-08,CURP000000MVZCURP,NINGUNA,HOMBRE,MASCULINO
LUIS MANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1984-11-29,CURP000000MVZCURP,TAXISTA,HOMBRE,MASCULINO
ERIK RODRIGO,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-06-20,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
LORENA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-02-16,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
ESMERALDA,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-07-18,CURP000000MVZCURP,GUARDIA DE SEGURIDAD,MUJER,FEMENINO
LUIS ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-01-18,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
WENDY JOSELINE,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-12-27,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
MARIA GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-12-28,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
HEIDI SARAI,PRIMER APELLIDO,SEGUNDO APELLIDO,2009-10-27,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JOSE DE JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-01-21,CURP000000MVZCURP,CARGADOR DE ABARROTES DE CASA,HOMBRE,MASCULINO
CESAR ALONSO,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-10-13,CURP000000MVZCURP,EMPLEADO EN UNA TAQUERIA,HOMBRE,MASCULINO
SEBASTIAN DE JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-05-28,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
JOSE LUIS,PRIMER APELLIDO,SEGUNDO APELLIDO,1990-10-26,CURP000000MVZCURP,MECANICO,HOMBRE,MASCULINO
FERNANDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-05-07,CURP000000MVZCURP,DIVERSOS EMPLEOS,HOMBRE,MASCULINO
JENNIFER,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-11-13,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
KARLA YAMILETH,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-02-19,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
AMAYRANI,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,LABORES DEL HOGAR,HOMBRE,FEMENINO
HERMILO,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,CORTADOR DE LEÑA,HOMBRE,MASCULINO
JUAN FRANCISCO,PRIMER APELLIDO,SEGUNDO APELLIDO,1985-07-28,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
LIZBETH,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-07-13,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
GABRIEL ISAID,PRIMER APELLIDO,SEGUNDO APELLIDO,2020-10-25,CURP000000MVZCURP,NO APLICA,HOMBRE,MASCULINO
RUBEN,PRIMER APELLIDO,SEGUNDO APELLIDO,1982-06-04,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
PENDIENTE,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,PENDIENTE,HOMBRE,PENDIENTE
CELSA,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-04-06,CURP000000MVZCURP,SIN EMPLEO,MUJER,MASCULINO
SERGIO HILARIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-02-16,CURP000000MVZCURP,SIN EMPLEO,HOMBRE,MASCULINO
ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1950-10-28,CURP000000MVZCURP,NINGUNA,HOMBRE,MASCULINO
JAIRO,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-04-05,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
ALEJANDRO DARWIN,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
MARIA EUGENIA,PRIMER APELLIDO,SEGUNDO APELLIDO,1958-11-15,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
CHRISTOPHER YAHIR,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-10-24,CURP000000MVZCURP,EMPLEADO,HOMBRE,MASCULINO
ASHLEY,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-01-28,CURP000000MVZCURP,COMERCIANTE; LABORES DEL HOGAR,MUJER,FEMENINO
CARLOS,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,EMPLEADO,HOMBRE,MASCULINO
GREGORIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1965-09-23,CURP000000MVZCURP,ELECTROMECANICO,HOMBRE,MASCULINO
ARIADNA PAMELA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-04-01,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
AURORA XIMENA,PRIMER APELLIDO,SEGUNDO APELLIDO,2018-05-18,CURP000000MVZCURP,NO ESPECIFICA,MUJER,FEMENINO
ITZEL AMAIRANI,PRIMER APELLIDO,SEGUNDO APELLIDO,1992-06-23,CURP000000MVZCURP,MESERA,MUJER,FEMENINO
OBED,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-09-09,CURP000000MVZCURP,TALACHERO,HOMBRE,MASCULINO
RAMON EULOGIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-03-26,CURP000000MVZCURP,CAMPESINO,HOMBRE,MASCULINO
LUIS MIGUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-10-24,CURP000000MVZCURP,MARINO DE LA GUARDIA NACIONAL,HOMBRE,MASCULINO
DAVID,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-05-02,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
ZURIZADEY,PRIMER APELLIDO,SEGUNDO APELLIDO,1998-01-15,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
AITANA YULIETH,PRIMER APELLIDO,SEGUNDO APELLIDO,2021-05-17,CURP000000MVZCURP,NO APLICA,MUJER,FEMENINO
MARIDIANA DEL ROCIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1995-05-30,CURP000000MVZCURP,MESERA EN BARES,MUJER,FEMENINO
DANIELA,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-02-19,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JOSE MANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1988-03-15,CURP000000MVZCURP,EMPLEADO EN CIVESA THROW,HOMBRE,MASCULINO
JOSE ERNESTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-11-01,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
EDSON IVAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1992-10-21,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
GUILLERMO,PRIMER APELLIDO,SEGUNDO APELLIDO,1996-02-10,CURP000000MVZCURP,CHOFER DE TRANSPORTE PUBLICO,HOMBRE,MASCULINO
CESAR ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-09-13,CURP000000MVZCURP,TAXISTA,HOMBRE,MASCULINO
GUADALUPE YADIRA,PRIMER APELLIDO,SEGUNDO APELLIDO,1973-06-05,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
HUMBERTO GABRIEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1946-03-06,CURP000000MVZCURP,CASADO,HOMBRE,MASCULINO
JOSE ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1992-08-07,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
LOANI,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-12-27,CURP000000MVZCURP,,MUJER,FEMENINO
OLGA MARLENE,PRIMER APELLIDO,SEGUNDO APELLIDO,2001-06-19,CURP000000MVZCURP,,MUJER,FEMENINO
ANGEL DE JESUS,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-07-30,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
LEONARDO CIRILO,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-11-26,CURP000000MVZCURP,EMPLEADO EN PIZZERIA,HOMBRE,MASCULINO
RICARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1981-04-03,CURP000000MVZCURP,PENSIONADO,HOMBRE,MASCULINO
JOSE ROBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-04-16,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
CESAR EDGARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,1997-04-20,CURP000000MVZCURP,NINGUNA,HOMBRE,MASCULINO
EVOLETT CONCEPCION,PRIMER APELLIDO,SEGUNDO APELLIDO,2010-09-16,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
DIEGO ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,2013-05-13,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
JOSE FRANCISCO,PRIMER APELLIDO,SEGUNDO APELLIDO,2014-05-26,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
YAMIRI,PRIMER APELLIDO,SEGUNDO APELLIDO,2010-04-26,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JUAN CARLOS,PRIMER APELLIDO,SEGUNDO APELLIDO,1992-02-15,CURP000000MVZCURP,TRABAJADOR DE LA CONSTRUCCION,HOMBRE,MASCULINO
SANDRA,PRIMER APELLIDO,SEGUNDO APELLIDO,2004-02-24,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
SAUL,PRIMER APELLIDO,SEGUNDO APELLIDO,1974-07-01,CURP000000MVZCURP,PRODUCTOR DE CAÑA,HOMBRE,MASCULINO
BRENDA ESMERALDA,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-01-10,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
ADA MERCEDES,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-01-19,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
CESAR,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-09-14,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
AGUSTIN,PRIMER APELLIDO,SEGUNDO APELLIDO,1969-10-20,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
ISABEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-05-31,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
JOSE LINO,PRIMER APELLIDO,SEGUNDO APELLIDO,1969-09-23,CURP000000MVZCURP,TAXISTA; CAMPESINO,HOMBRE,MASCULINO
FORTINO,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-04-17,CURP000000MVZCURP,PESCADOR,HOMBRE,MASCULINO
LIDMI ISVI,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-08-04,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
MONSERRAT DEL SOL,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-01-21,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
ABBY JEANNETTE,PRIMER APELLIDO,SEGUNDO APELLIDO,2009-06-04,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JOSE LUIS,PRIMER APELLIDO,SEGUNDO APELLIDO,1962-09-18,CURP000000MVZCURP,PENALISTA,HOMBRE,MASCULINO
CAMILA,PRIMER APELLIDO,SEGUNDO APELLIDO,2009-06-05,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
EDGAR IVAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1982-07-22,CURP000000MVZCURP,MECANICO,HOMBRE,MASCULINO
